brand,model,network_technology,2G_bands,3G_bands,4G_bands,network_speed,GPRS,EDGE,announced,status,dimentions,weight_g,weight_oz,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url,
Samsung,C130,GSM,GSM 900 / 1800 ,,,,Class 8,No,2006  May,Discontinued,102.4 x 45.4 x 14.8 mm (4.03 x 1.79 x 0.58 in),75,2.65,Mini-SIM,CSTN  65K colors,1.6 inches (~17.8% screen-to-body ratio),128 x 128 pixels| 1.5 inch (~113 ppi pixel density),,,,,No,1.8 MB,,,,Yes,No,No,No,No,,No,No,,Removable Li-Ion 750 mAh battery,Orange| Pink| Silver| Blue,50,http://cdn2.gsmarena.com/vv/bigpic/samsung-c130.gif,
Samsung,E500,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Class 10,2006  May,Discontinued,85 x 44.5 x 21.9 mm (3.35 x 1.75 x 0.86 in),77,2.72,Mini-SIM,TFT  256K colors,1.76 inches (~25.8% screen-to-body ratio),176 x 220 pixels (~160 ppi pixel density),,,,,No,60 MB,,1.3 MP,No,Yes,No,No,2.0| A2DP,No,,No,1.1,,Removable Li-Ion 800 mAh battery,,,http://cdn2.gsmarena.com/vv/bigpic/sse500.gif,
Samsung,E380,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Class 10,2006  July,Discontinued,93 x 46 x 16.8 mm (3.66 x 1.81 x 0.66 in),77,2.72,Mini-SIM,TFT  65K colors,1.9 inches| 30 x 37 mm (~26.6% screen-to-body ratio),176 x 220 pixels (~148 ppi pixel density),,,,,No,40 MB,,1.3 MP,No,Yes,No,No,2.0| A2DP,No,,No,1.1,,Removable Li-Ion 750 mAh battery,Champagne Gold| Scarlet Red| Ice Blue,,http://cdn2.gsmarena.com/vv/bigpic/samsung-e380.gif,
Samsung,D870,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Yes,2006  March,Discontinued,103.5 x 51 x 13 mm (4.07 x 2.01 x 0.51 in),93,3.28,Mini-SIM,TFT  256K colors,2.1 inches| 32 x 42 mm (~25.9% screen-to-body ratio),240 x 320 pixels (~190 ppi pixel density),,,,,microSD (dedicated slot),80 MB,,3.15 MP| LED flash,No,No,No,No,Yes,No,,No,Yes,,Removable battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/samsung-d870.gif,
Samsung,D780 flip,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Yes,2006  March,Cancelled,94 x 48 x 15.5 mm (3.70 x 1.89 x 0.61 in),87,3.07,Mini-SIM,TFT  65K colors,,176 x 220 pixels,,,,,No,80 MB,,2 MP,No,Yes with stereo speakers,No,No,Yes,No,,No,Yes,,Removable battery,,,http://cdn2.gsmarena.com/vv/bigpic/samsung-d780.gif,
Samsung,E900,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Class 10,2006  March,Discontinued,93 x 45 x 16.5 mm (3.66 x 1.77 x 0.65 in),93,3.28,Mini-SIM,TFT  256K colors,2.0 inches| 30 x 40 mm (~29.6% screen-to-body ratio),240 x 320 pixels (~200 ppi pixel density),,,,,microSD (dedicated slot),80 MB,,2 MP| LED flash,No,Yes,No,No,1.2| A2DP,No,,No,Yes,,Removable Li-Ion 800 mAh battery,Black| Silver| Gold,120,http://cdn2.gsmarena.com/vv/bigpic/samsung-e900.gif,
Samsung,Z400,GSM / UMTS,GSM 900 / 1800 / 1900 ,UMTS 2100 ,,Yes  384 kbps,Class 10,Yes,2006  March,Discontinued,96.7 x 47.8 x 19.2 mm (3.81 x 1.88 x 0.76 in),107,3.77,Mini-SIM,TFT  256K colors,2.0 inches| 30 x 40 mm (~26.8% screen-to-body ratio),240 x 320 pixels (~200 ppi pixel density),,,,,microSD (dedicated slot),30 MB,,2 MP,VGA videocall camera,Yes,No,No,1.2| A2DP,No,,No,Yes,,Removable battery,Silver| Black,,http://cdn2.gsmarena.com/vv/bigpic/samsung-z400.gif,
Samsung,Z550,GSM / UMTS,GSM 900 / 1800 / 1900 ,UMTS 2100 ,,Yes  384 kbps,Class 10,Yes,2006  March,Discontinued,93 x 45 x 17.5 mm (3.66 x 1.77 x 0.69 in),95,3.35,Mini-SIM,TFT  256K colors,2.0 inches| 30 x 40 mm (~29.6% screen-to-body ratio),240 x 320 pixels (~200 ppi pixel density),,,,,microSD (dedicated slot),138 MB,,2 MP,Videocall camera,Yes with stereo speakers,No,No,2.0| A2DP,No,,No,Yes,,Removable battery,,,http://cdn2.gsmarena.com/vv/bigpic/samsung-z550.gif,
Samsung,i320,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Yes,2006  February,Discontinued,111 x 59 x 11.5 mm (4.37 x 2.32 x 0.45 in),95,3.35,Mini-SIM,TFT  65K colors,2.2 inches (~22.9% screen-to-body ratio),320 x 240 pixels| 2.2 inch (~182 ppi pixel density),Microsoft Windows Mobile 5.0 Smartphone,Intel PXA 272 416 MHz,,,microSD (dedicated slot),128 MB,,1.3 MP| LED flash,No,Yes with stereo speakers,No,No,1.2| A2DP,No,,No,1.1,,Removable Li-Ion 1000 mAh battery,Black,160,http://cdn2.gsmarena.com/vv/bigpic/samsung-i320.gif,
Samsung,i310,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Yes,2006  March,Discontinued,111.9 x 48.5 x 19.8 mm (4.41 x 1.91 x 0.78 in),120,4.23,Mini-SIM,TFT  65K colors,2.0 inches| 30 x 40 mm (~22.8% screen-to-body ratio),240 x 320 pixels (~200 ppi pixel density),Microsoft Windows Mobile 5.0 Smartphone,32-bit Intel XScale PXA272 416 MHz,,,microSD (dedicated slot),8 GB (microdrive),64 MB RAM,2 MP| LED flash,No,Yes with stereo speakers,No,No,Yes,No,,No,2,,Removable battery,,,http://cdn2.gsmarena.com/vv/bigpic/samsung-i310.gif,
Samsung,ZV50,GSM / HSPA,GSM 900 / 1800 / 1900 ,HSDPA 2100 ,,HSPA,Class 10,No,2006  March,Discontinued,90 x 45 x 22.8 mm (3.54 x 1.77 x 0.90 in),105,3.7,Mini-SIM,TFT  256K colors,,240 x 320 pixels| 2 inch,,,,,microSD (dedicated slot),30 MB,,2 MP,Videocall camera,No,No,No,1.2| A2DP,No,,No,Yes,,Removable Li-Ion 900 mAh battery,Aluminium Silver,,http://cdn2.gsmarena.com/vv/bigpic/samsung-zv50.gif,
Samsung,ZV40,GSM / UMTS,GSM 900 / 1800 / 1900 ,UMTS 2100 ,,Yes  384 kbps,Class 10,No,2006  July,Discontinued,91 x 47 x 23 mm (3.58 x 1.85 x 0.91 in),93,3.28,Mini-SIM,TFT  256K colors,1.9 inches (~26.6% screen-to-body ratio),176 x 220 pixels (~148 ppi pixel density),,,,,microSD (dedicated slot),30 MB,,1.3 MP,No,No,No,No,Yes,No,,No,Yes,,Removable Li-Ion 800 mAh battery,Dark Warm Gray,,http://cdn2.gsmarena.com/vv/bigpic/samsung-zv40.gif,
Samsung,Z560,GSM / HSPA,GSM 900 / 1800 / 1900 ,HSDPA 2100 ,,HSPA 1.8 Mbps,Class 10,Yes,2006  February,Discontinued,97.3 x 51.3 x 16 mm (3.83 x 2.02 x 0.63 in),94,3.32,Mini-SIM,TFT  256K colors,2.3 inches (~32.8% screen-to-body ratio),240 x 320 pixels (~174 ppi pixel density),,,,,microSD (dedicated slot),20 MB,,2 MP| autofocus,VGA videocall camera,Yes with stereo speakers,No,No,1.2| A2DP,No,,No,Yes,,Removable Li-Ion 900 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/samsung-z560.gif,
